title,avg_rating,Class
Candiland,4.3,"Flop movie"
"Candy Corn",3.8,"Flop movie"
"Capps Crossing",4.3,"Flop movie"
"Captive State",6.0,"One-time-watch movie"
Carbon,6.9,"One-time-watch movie"
Carbone,6.6,"One-time-watch movie"
Cardinals,5.5,"One-time-watch movie"
Caretakers,7.5,"Hit movie"
"Carnivore: Werewolf of London",3.3,"Flop movie"
Carnivores,5.2,"One-time-watch movie"
"Catskill Park",3.7,"Flop movie"
"Central Park",3.7,"Flop movie"
Cereyan,4.5,"Flop movie"
"Chai dan zhuan jia",6.3,"One-time-watch movie"
Chanakya,5.4,"One-time-watch movie"
Chanakyatanthram,5.6,"One-time-watch movie"
Chappaquiddick,6.5,"One-time-watch movie"
Charmøren,6.7,"One-time-watch movie"
Chase,7.2,"Hit movie"
"Check Point",3.2,"Flop movie"
"Chimera Strain",5.4,"One-time-watch movie"
"Christmas Crime Story",4.3,"Flop movie"
"Circus of the Dead",6.0,"One-time-watch movie"
"City of Tiny Lights",5.5,"One-time-watch movie"
"Cleavers: Killer Clowns",2.9,"Flop movie"
Clickbait,6.1,"One-time-watch movie"
Clinical,5.1,"One-time-watch movie"
Close,5.6,"One-time-watch movie"
"Close Calls",5.0,"One-time-watch movie"
Clowntergeist,2.9,"Flop movie"
"Çocuklar Sana Emanet",5.3,"One-time-watch movie"
"Coffin 2",5.5,"One-time-watch movie"
"Cola de Mono",5.4,"One-time-watch movie"
"Cold Blood Legacy",4.5,"Flop movie"
"Cold November",4.5,"Flop movie"
"Come to Daddy",6.7,"One-time-watch movie"
"Commando 2",5.2,"One-time-watch movie"
"Cómprame un revolver",6.6,"One-time-watch movie"
"Contract to Kill",3.4,"Flop movie"
Contratiempo,8.1,"Superhit movie"
Convergence,4.3,"Flop movie"
"Corbin Nash",5.2,"One-time-watch movie"
Corporate,6.4,"One-time-watch movie"
Countdown,5.4,"One-time-watch movie"
Countrycide,2.0,"Flop movie"
"Coyote Lake",4.8,"Flop movie"
"Cradle Robber",5.0,"One-time-watch movie"
"Created Equal",5.1,"One-time-watch movie"
"Creep 2",6.4,"One-time-watch movie"
"Creep Nation",4.2,"Flop movie"
"Cruel Summer",5.3,"One-time-watch movie"
Crypto,5.6,"One-time-watch movie"
CTRL,3.0,"Flop movie"
"Cuando los ángeles duermen",5.4,"One-time-watch movie"
Cuck,6.3,"One-time-watch movie"
"Cucuy: The Boogeyman",4.6,"Flop movie"
"Curse of the Nun",2.8,"Flop movie"
Curvature,5.0,"One-time-watch movie"
"Cut Shoot Kill",4.4,"Flop movie"
"Cut to the Chase",4.7,"Flop movie"
Cutterhead,6.1,"One-time-watch movie"
"Cyber Case",5.0,"One-time-watch movie"
"Daas Dev",5.1,"One-time-watch movie"
Dagenham,3.0,"Flop movie"
"Damascus Cover",5.1,"One-time-watch movie"
"Dangerous Company",4.7,"Flop movie"
"Danmarks sønner",6.6,"One-time-watch movie"
Darc,5.8,"One-time-watch movie"
"Dark Beacon",6.4,"One-time-watch movie"
"Dark Cove",5.6,"One-time-watch movie"
