title,avg_rating,Class
"The Perfect Host: A Southern Gothic Tale",4.2,"Flop movie"
"The Perfection",6.1,"One-time-watch movie"
"The Place",7.1,"Hit movie"
"The Playground",4.7,"Flop movie"
"The Poison Rose",4.6,"Flop movie"
"The Pool",5.7,"One-time-watch movie"
"The Possession of Hannah Grace",5.2,"One-time-watch movie"
"The Prodigy",5.9,"One-time-watch movie"
"The Rake",3.5,"Flop movie"
"The Recall",4.5,"Flop movie"
"The Redeeming",4.2,"Flop movie"
"The Refuge",6.1,"One-time-watch movie"
"The Report",7.1,"Hit movie"
"The Riot Act",4.4,"Flop movie"
"The Ritual",6.3,"One-time-watch movie"
"The Row",3.3,"Flop movie"
"The Russian Bride",6.0,"One-time-watch movie"
"The Samaritans",4.1,"Flop movie"
"The School",3.8,"Flop movie"
"The Second",4.8,"Flop movie"
"The Snare",3.5,"Flop movie"
"The Sound",3.6,"Flop movie"
"The Spearhead Effect",4.7,"Flop movie"
"The Standoff at Sparrow Creek",6.2,"One-time-watch movie"
"The Strange Ones",5.0,"One-time-watch movie"
"The Stranger Inside",4.7,"Flop movie"
"The Student",4.4,"Flop movie"
"The Summoning",3.9,"Flop movie"
"The Super",6.0,"One-time-watch movie"
"The Surrogate",4.8,"Flop movie"
"The System",2.9,"Flop movie"
"The Tale",7.3,"Hit movie"
"The Tank",4.0,"Flop movie"
"The Tashkent Files",7.9,"Hit movie"
"The Terrible Two",2.3,"Flop movie"
"The Tooth and the Nail",6.4,"One-time-watch movie"
"The Toybox",3.7,"Flop movie"
"The Tracker",3.2,"Flop movie"
"The Transcendents",7.8,"Hit movie"
"The Unseen",4.2,"Flop movie"
"The Village in the Woods",6.6,"One-time-watch movie"
"The Villagers",5.8,"One-time-watch movie"
"The Villain",5.8,"One-time-watch movie"
"The Wall",6.2,"One-time-watch movie"
"The Wasting",4.1,"Flop movie"
"The Watcher",5.6,"One-time-watch movie"
"The Wedding Guest",5.6,"One-time-watch movie"
"The Wicked Gift",5.6,"One-time-watch movie"
"The Wicked One",3.6,"Flop movie"
"The Witch Files",4.4,"Flop movie"
"The Wolf Hour",4.8,"Flop movie"
"The Worthy",5.2,"One-time-watch movie"
"The Wrong Daughter",5.1,"One-time-watch movie"
"The Wrong Friend",4.7,"Flop movie"
"The Wrong Mother",5.5,"One-time-watch movie"
"The Wrong Nanny",4.8,"Flop movie"
"The Wrong Son",5.3,"One-time-watch movie"
"The Young Cannibals",3.6,"Flop movie"
"Theeran Adhigaaram Ondru",8.3,"Superhit movie"
"Them That Follow",5.2,"One-time-watch movie"
"They Remain",4.2,"Flop movie"
"Thiruttu Payale 2",6.7,"One-time-watch movie"
"This Is Your Death",5.6,"One-time-watch movie"
"This Old Machine",2.0,"Flop movie"
"Thondimuthalum Dhriksakshiyum",8.2,"Superhit movie"
Thoroughbreds,6.7,"One-time-watch movie"
Thriller,3.8,"Flop movie"
Thumper,5.8,"One-time-watch movie"
"Thuppaki Munai",6.3,"One-time-watch movie"
Thupparivaalan,7.5,"Hit movie"
Tiere,6.7,"One-time-watch movie"
"Tiger Zinda Hai",6.0,"One-time-watch movie"
"Tik Tik Tik",6.1,"One-time-watch movie"
"Til Death Do Us Part",4.5,"Flop movie"
Tilt,5.0,"One-time-watch movie"
Tiyaan,6.7,"One-time-watch movie"
"To thávma tis thálassas ton Sargassón",5.7,"One-time-watch movie"
"Together For Ever",5.8,"One-time-watch movie"
"Tomato Red",5.9,"One-time-watch movie"
Tone-Deaf,4.8,"Flop movie"
Totem,4.5,"Flop movie"
"Tout nous sépare",5.0,"One-time-watch movie"
Trafficked,5.6,"One-time-watch movie"
Transfert,7.4,"Hit movie"
Trapped,7.5,"Hit movie"
"Trench 11",5.3,"One-time-watch movie"
Trendy,5.5,"One-time-watch movie"
Trezor,7.1,"Hit movie"
Trhlina,5.6,"One-time-watch movie"
Trickster,3.7,"Flop movie"
"Triple Threat",5.5,"One-time-watch movie"
"Trois jours et une vie",6.6,"One-time-watch movie"
"True Crimes",5.1,"One-time-watch movie"
Truth,7.3,"Hit movie"
"Truth or Dare",5.1,"One-time-watch movie"
Tueurs,6.1,"One-time-watch movie"
Tutsak,5.2,"One-time-watch movie"
"Twin Betrayal",5.4,"One-time-watch movie"
"Two Down",7.2,"Hit movie"
"Two Graves",4.2,"Flop movie"
"Two Pigeons",5.4,"One-time-watch movie"
U-Turn,7.0,"Hit movie"
"Üç Harfliler: Adak",7.0,"Hit movie"
"Ultimate Justice",4.2,"Flop movie"
"Una especie de familia",6.3,"One-time-watch movie"
Unda,8.1,"Superhit movie"
"Une vie violente",6.0,"One-time-watch movie"
Unforgettable,5.1,"One-time-watch movie"
"Unfriended: Dark Web",5.9,"One-time-watch movie"
Unhinged,4.1,"Flop movie"
"Until Midnight",8.0,"Superhit movie"
Unwritten,3.1,"Flop movie"
"Uriyadi 2",7.3,"Hit movie"
Uru,5.9,"One-time-watch movie"
Urvi,7.0,"Hit movie"
Us,6.9,"One-time-watch movie"
"Us and Them",5.1,"One-time-watch movie"
"Utøya 22. juli",7.3,"Hit movie"
V.I.P.,6.3,"One-time-watch movie"
Valhalla,7.4,"Hit movie"
"Valley of Bones",4.1,"Flop movie"
"Valley of the Sasquatch",3.6,"Flop movie"
Vals,5.0,"One-time-watch movie"
Varathan,7.5,"Hit movie"
Vargur,6.1,"One-time-watch movie"
"Varikkuzhiyile Kolapathakam",6.4,"One-time-watch movie"
Vault,5.4,"One-time-watch movie"
"Veera Bhoga Vasantha Rayalu",6.6,"One-time-watch movie"
Velaikkaran,7.3,"Hit movie"
Vellaipookal,7.3,"Hit movie"
"Velvet Buzzsaw",5.7,"One-time-watch movie"
Venom,6.7,"One-time-watch movie"
"Ventajas de viajar en tren",7.2,"Hit movie"
Vera,7.4,"Hit movie"
Verna,7.2,"Hit movie"
Verónica,5.8,"One-time-watch movie"
Videomannen,5.7,"One-time-watch movie"
Vikadakumaran,6.0,"One-time-watch movie"
"Vikram Vedha",8.7,"Superhit movie"
Viktorville,6.8,"One-time-watch movie"
Villain,6.4,"One-time-watch movie"
"Vincent N Roxxy",5.5,"One-time-watch movie"
"Vinci Da",7.2,"Hit movie"
Virus,8.1,"Superhit movie"
"Virus of the Dead",2.8,"Flop movie"
"Vishwaroopam 2",5.9,"One-time-watch movie"
Vivegam,5.7,"One-time-watch movie"
"Vodka Diaries",5.6,"One-time-watch movie"
"Voice from the Stone",5.2,"One-time-watch movie"
Voidfinder,5.9,"One-time-watch movie"
Volt,5.1,"One-time-watch movie"
Voyoucratie,5.8,"One-time-watch movie"
"Wake Up",5.0,"One-time-watch movie"
War,6.8,"One-time-watch movie"
"Warning Shot",5.1,"One-time-watch movie"
Watchman,5.3,"One-time-watch movie"
"We Are Monsters",3.4,"Flop movie"
"We Belong Together",4.6,"Flop movie"
"We Go On",5.8,"One-time-watch movie"
"We Have Always Lived in the Castle",5.6,"One-time-watch movie"
Webcast,5.7,"One-time-watch movie"
"Welcome Home",5.2,"One-time-watch movie"
"Welcome to Acapulco",4.2,"Flop movie"
"Welcome to Curiosity",5.4,"One-time-watch movie"
Wetlands,4.3,"Flop movie"
"What Death Leaves Behind",8.3,"Superhit movie"
"What Keeps You Alive",5.7,"One-time-watch movie"
"What Lies Ahead",3.4,"Flop movie"
"What Still Remains",4.6,"Flop movie"
"Where the Devil Dwells",4.7,"Flop movie"
"Where the Skin Lies",4.0,"Flop movie"
Whispers,4.4,"Flop movie"
"White Orchid",5.1,"One-time-watch movie"
Widows,6.9,"One-time-watch movie"
"Wild for the Night",4.1,"Flop movie"
Witch-Hunt,5.5,"One-time-watch movie"
"Witches in the Woods",4.1,"Flop movie"
Witnesses,6.1,"One-time-watch movie"
"Wolves at the Door",4.5,"Flop movie"
Woodshock,4.2,"Flop movie"
Woosang,5.8,"One-time-watch movie"
"Would You Rather",5.7,"One-time-watch movie"
Wraith,3.4,"Flop movie"
Wrecker,3.4,"Flop movie"
X.,6.5,"One-time-watch movie"
"Xian yi ren X de xian shen",6.2,"One-time-watch movie"
"Xue bao",5.9,"One-time-watch movie"
"Xue guan yin",7.4,"Hit movie"
"xXx: Return of Xander Cage",5.2,"One-time-watch movie"
Yaman,6.3,"One-time-watch movie"
Yazh,8.3,"Superhit movie"
Yeo-gyo-sa,5.9,"One-time-watch movie"
"Yin bao zhe",5.9,"One-time-watch movie"
"Yol kenari",6.7,"One-time-watch movie"
"Your Move",3.8,"Flop movie"
"Yuddham Sharanam",6.0,"One-time-watch movie"
Zavod,7.0,"Hit movie"
"Zero 3",6.6,"One-time-watch movie"
"Zhan lang II",6.0,"One-time-watch movie"
"Zhui bu",5.2,"One-time-watch movie"
"Zombies Have Fallen",6.5,"One-time-watch movie"
"Zona hostil",6.3,"One-time-watch movie"
Zoo-Head,3.3,"Flop movie"
"Zuo jia de huang yan: Bi zhong you zui",5.8,"One-time-watch movie"
